SKU,Zepto SKU code,Nykaa SKU code,Instamart SKU code,Blinkit Sku code
GCS1000,,,,
GCS200,dee03ba3-8370-40ee-a801-e9f189dbcf45,MOXIE00000001,439368,10205979
GCS50,dc88ff2a-7909-4baa-bd73-ce542aa8fd58,MOXIE00000010,637575,10201596
GCS15,,MOXIE00000036,,
UHC500,,MOXIE00000066,,
UHC175,16eb7678-db91-44b3-bff6-8c7cc593456c,MOXIE00000002,178532,10205982
UHC50,a2cd2d71-bb80-4bd3-8d5e-d0caeade554e,MOXIE00000011,571308,10201604
UHC15,,MOXIE00000037,,
SDCC500,,MOXIE00000068,,
SDCC120,e55d5fa2-2c84-44da-839c-8fb4af3e321e,MOXIE00000004,373622,10220242
SDCC50,6e04ae17-8c43-42a2-8ade-8e395e3ca2d5,MOXIE00000013,263382,
SDCC15,,MOXIE00000039,,
WLIC500,,MOXIE00000067,,
WLIC120,4b7c2d78-7d4c-4e9b-a17f-03d2abc5e402,MOXIE00000003,,
WLIC50,72c43c84-98ed-4086-b89c-3a9eca0db60b,MOXIE00000012,392807,10251282
WLIC15,,MOXIE00000038,,
FSSG500,,,,
FSSG120,,MOXIE00000006,,
FSSG50,,MOXIE00000014,324339,10251252
FSSG15,,MOXIE00000040,,
CAHHO100,,MOXIE00000007,151685,
FF10,d779fd07-0a8b-4f95-9d94-ed2de8523633,MOXIE00000008,860889,10220244
FFHS50,79edc61a-e969-4d8f-b79d-353b987239a6,MOXIE00000005,447505,10203664
TUWC,,,,
TUCC,,,,
TMWR,,MOXIE00000015,,
TMCR,,MOXIE00000017,,
JTEWT,,MOXIE00000019,,
JTECT,,MOXIE00000021,,
WCR,,MOXIE00000029,,
DTFT,,MOXIE00000030,,
RSD,4cec2443-672f-4b19-b02d-786c9dadde38,MOXIE00000027,,
WVSD,,MOXIE00000023,,
CVSD,,MOXIE00000024,,
TMWTR,,MOXIE00000016,,
TMCTR,,MOXIE00000018,,
FF20,,MOXIE00000009,,
WETT,,MOXIE00000020,,
CETT,,MOXIE00000022,,
RSTD,4a01e384-a7ac-41da-b314-6b679521b33e,MOXIE00000028,367054,
WVSTD,3c4198d1-3a81-426d-a5fe-1f05e6c2d040,MOXIE00000025,,
CVSTD,b5d5380d-81b8-42a7-af98-9593140f26a5,MOXIE00000026,,10220246
SC15,,,,
SW15,,,,
SM1,ecf376c6-38b0-4ea3-be68-f07fcf25c416,MOXIE00000060,883581,10220247
SS4,,,,
SS2,79b3c2cf-490b-4d7a-be15-08337890dfc5,,,
TH30,ebb8890f-f3ff-4e94-af11-997effcff94f,MOXIE00000047,558955,10203675
FHPS100,97a8a775-c887-43fd-b22c-9d681ee3a61e,MOXIE00000048,229505,10203750
TP,,,,
HFB1,,,,
THFD,,MOXIE00000050,,10251265
HMSHGD,,,,
RSD15,,MOXIE00000046,283600,10260722
CDDS30,8a187b33-9d59-4655-beba-12ffd06f1ccb,MOXIE00000051,267051,10203077
PIG1,,,,
CDDBD1,,MOXIE00000052,585962,10236406
HARS200,dc9d0838-173f-4dc2-9304-d1e0c9f5598c,MOXIE00000053,398982,10246330
HARC175,c2883d3b-b2ca-4314-af99-60b216a533fe,MOXIE00000054,574654,
HAHS50,5011300d-c8b4-46fb-8fa0-d58d5b0cda87,MOXIE00000055,689807,10203070
CD1,,,,
THRR,,MOXIE00000058,,
HRWD,,MOXIE00000057,,
HARC120,1a5eb182-1ede-4352-8da2-3da13dfd296b,,330381,10201795
HARS120,06236e35-c68b-421b-a8dc-c0777396896e,,170467,10201629
HRTWD,c297ded9-24f6-4566-b52d-7fc1545d8e5f,,358410,
HARC15,,,,
HARS15,,,,
R3OGSRP,,MOXIE00000064,,
GCS500,,MOXIE00000065,,
HARC500,,,,
HARS1000,,,,
DDHM200,1985574E-A1E3-4920-9CA0-3122C7FC42F2,MOXIE00000063,947611,10251234
SRS200,45D4E397-D86B-47AE-ABDC-9136D86091C0,MOXIE00000069,330506,10265061
SRS10,,,,
MRC175,AEF64EBB-CA30-40C7-AD95-0B1A546306A6,MOXIE00000070,962787,10264859
MRC10,,,,
DCLOS30,7D1A8CFA-5945-4D62-9C2D-AA2674E1BF98,MOXIE00000072,833948,
DDPWT100,22E3104B-BFD4-45A3-BC82-5C9CFAEDE3C7,MOXIE00000071,383586,
TSSR,,MOXIE00000073,,
SSWD,,MOXIE00000074,,
SET,,MOXIE00000075,,
STSD,,MOXIE00000076,,

